Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
26,Travel_Frequently,153,Research & Development,23,5,Medical,1,84,3,Male,71,1,1,Research Scientist,1,Married,4619,2840,6,Y,No,20,3,4,80,0,8,0,4,3,3,3,1,No
41,Travel_Rarely,664,Research & Development,12,4,Medical,1,85,2,Female,74,2,5,Research Director,2,Married,17412,23467,4,Y,No,13,3,2,80,1,23,1,4,14,12,14,6,No
18,Travel_Rarely,1167,Research & Development,2,3,Human Resources,1,86,3,Male,73,1,3,Manufacturing Director,2,Single,10454,3461,9,Y,No,15,4,4,80,3,0,4,1,0,0,0,0,Yes
25,Travel_Rarely,152,Research & Development,4,2,Human Resources,1,87,3,Female,62,3,4,Manager,4,Married,12714,23318,4,Y,No,16,3,1,80,1,6,2,4,6,6,0,6,No
41,Travel_Rarely,657,Research & Development,5,4,Life Sciences,1,88,3,Male,89,3,3,Manager,3,Divorced,10242,17405,6,Y,No,19,4,4,80,2,23,4,1,23,2,8,1,No
28,Travel_Rarely,1225,Research & Development,3,1,Life Sciences,1,89,2,Female,99,4,1,Healthcare Representative,1,Married,3557,17003,7,Y,Yes,11,3,2,80,2,10,3,3,8,8,2,8,Yes
34,Travel_Rarely,967,Research & Development,9,5,Marketing,1,90,3,Female,55,1,1,Sales Executive,1,Married,4405,5472,7,Y,Yes,18,3,4,80,0,16,2,2,16,2,11,9,No
25,Travel_Rarely,497,Research & Development,29,1,Human Resources,1,91,1,Female,50,3,3,Sales Representative,3,Divorced,11015,17847,6,Y,No,24,3,4,80,1,7,2,1,7,7,7,4,Yes
52,Travel_Frequently,1261,Research & Development,21,2,Other,1,92,3,Male,31,4,4,Research Director,3,Single,12904,25547,2,Y,No,24,3,4,80,2,30,4,1,30,5,9,11,No
52,Travel_Rarely,774,Sales,18,2,Marketing,1,93,1,Female,76,1,1,Sales Executive,1,Single,4707,8575,1,Y,Yes,14,3,3,80,2,34,6,3,25,16,4,9,Yes
50,Travel_Rarely,486,Research & Development,11,1,Technical Degree,1,94,4,Male,59,1,1,Sales Representative,2,Single,4805,6843,0,Y,No,20,3,2,80,3,26,4,3,20,5,8,5,No
22,Travel_Rarely,210,Research & Development,3,2,Medical,1,95,4,Female,56,3,5,Manufacturing Director,2,Married,17306,9739,5,Y,Yes,17,3,4,80,2,3,4,2,3,3,3,3,Yes
59,Travel_Rarely,713,Sales,25,4,Medical,1,96,2,Female,49,4,2,Manager,3,Divorced,7220,16852,8,Y,No,16,3,2,80,1,3,4,3,3,3,3,0,Yes
56,Travel_Rarely,116,Research & Development,23,2,Life Sciences,1,97,2,Male,79,4,1,Human Resources,1,Married,4686,18324,2,Y,No,16,3,4,80,0,17,6,1,17,7,11,6,No
58,Travel_Rarely,1305,Research & Development,2,5,Other,1,98,4,Female,52,3,4,Healthcare Representative,3,Divorced,13612,20893,4,Y,Yes,17,3,1,80,0,22,6,2,22,7,13,11,No
45,Non-Travel,983,Sales,9,4,Human Resources,1,99,3,Female,42,3,4,Research Director,2,Married,13282,11157,8,Y,No,14,3,1,80,2,27,1,2,27,14,11,6,No
24,Travel_Rarely,640,Human Resources,14,3,Human Resources,1,100,3,Male,33,3,5,Healthcare Representative,4,Married,15596,24406,8,Y,No,16,3,1,80,2,6,0,2,6,6,2,6,No
26,Travel_Rarely,270,Sales,4,2,Life Sciences,1,101,3,Female,43,1,4,Research Scientist,4,Single,13086,20422,6,Y,No,13,3,4,80,2,8,0,4,8,2,8,8,No
25,Travel_Rarely,508,Sales,29,2,Technical Degree,1,102,4,Female,49,3,5,Manufacturing Director,2,Divorced,16611,16516,3,Y,No,15,3,2,80,3,7,4,4,7,7,7,7,No
29,Non-Travel,839,Research & Development,9,5,Marketing,1,103,1,Female,42,3,1,Research Scientist,3,Single,4017,14432,1,Y,No,23,3,1,80,2,7,0,1,7,2,6,7,Yes
51,Travel_Rarely,1311,Research & Development,13,5,Marketing,1,104,2,Female,32,2,1,Sales Representative,4,Married,4167,20234,1,Y,No,23,3,3,80,2,21,4,4,16,0,11,3,No
50,Travel_Rarely,957,Sales,18,1,Other,1,105,1,Male,76,3,1,Sales Representative,2,Single,4586,9432,3,Y,Yes,24,3,1,80,3,26,4,3,1,1,1,1,Yes
40,Travel_Frequently,329,Research & Development,15,1,Life Sciences,1,106,4,Female,32,3,1,Laboratory Technician,1,Single,4040,20837,0,Y,No,23,3,1,80,1,16,4,2,16,8,6,2,No
41,Travel_Frequently,218,Research & Development,28,1,Life Sciences,1,107,1,Female,30,1,2,Sales Representative,3,Married,7315,17148,3,Y,Yes,12,3,3,80,3,23,5,1,23,11,13,4,Yes
54,Travel_Rarely,1279,Sales,10,5,Technical Degree,1,108,3,Female,53,4,2,Sales Executive,3,Single,6690,21400,5,Y,Yes,13,4,1,80,0,32,1,3,26,17,7,3,No
52,Travel_Rarely,883,Sales,16,1,Marketing,1,109,3,Female,64,1,1,Sales Executive,4,Divorced,5477,13194,5,Y,No,23,3,4,80,3,30,3,2,13,13,10,13,No
57,Non-Travel,564,Research & Development,12,1,Life Sciences,1,110,1,Female,43,2,4,Human Resources,3,Married,13416,16819,6,Y,No,19,3,4,80,3,5,0,3,5,5,4,5,No
39,Travel_Rarely,203,Sales,20,3,Human Resources,1,111,4,Female,96,3,5,Manager,4,Married,16215,8625,4,Y,No,16,4,1,80,1,21,0,4,7,7,1,2,No
44,Travel_Rarely,797,Research & Development,5,1,Other,1,112,1,Female,42,3,3,Healthcare Representative,4,Married,10801,9404,8,Y,Yes,13,4,2,80,1,8,1,3,8,6,8,8,No
52,Travel_Rarely,274,Research & Development,2,2,Marketing,1,113,3,Female,76,3,5,Manager,2,Married,16038,16674,1,Y,Yes,12,3,2,80,2,31,1,4,20,13,8,14,No
18,Travel_Rarely,844,Human Resources,10,5,Technical Degree,1,114,3,Male,79,3,3,Manager,4,Divorced,9584,12507,1,Y,No,15,3,1,80,3,0,4,3,0,0,0,0,Yes
52,Travel_Rarely,1257,Sales,1,4,Other,1,115,4,Male,55,3,3,Sales Executive,1,Single,10858,22387,3,Y,No,20,4,3,80,1,15,4,1,13,13,10,13,No
54,Travel_Rarely,764,Human Resources,7,3,Medical,1,116,1,Male,32,3,1,Healthcare Representative,3,Single,3940,20697,3,Y,No,24,3,4,80,0,11,5,4,11,11,11,0,No
31,Travel_Rarely,132,Research & Development,26,5,Human Resources,1,117,3,Male,80,2,3,Human Resources,4,Single,11245,6623,3,Y,No,15,3,4,80,2,2,5,4,2,2,1,2,No
20,Travel_Rarely,154,Research & Development,17,5,Technical Degree,1,118,3,Female,69,3,1,Manufacturing Director,3,Divorced,5173,21547,0,Y,No,11,3,4,80,3,2,3,2,2,2,2,1,No
18,Travel_Rarely,618,Sales,16,2,Other,1,119,1,Female,97,3,2,Laboratory Technician,4,Divorced,7289,25570,3,Y,Yes,13,3,1,80,0,0,0,4,0,0,0,0,Yes
22,Travel_Rarely,855,Sales,27,1,Life Sciences,1,120,1,Male,65,3,4,Sales Executive,2,Single,13695,9015,4,Y,No,17,4,4,80,1,4,1,2,4,4,4,4,Yes
43,Travel_Frequently,111,Research & Development,27,2,Medical,1,121,2,Male,80,2,3,Research Scientist,1,Married,11375,17261,8,Y,No,19,3,1,80,2,16,3,4,7,7,7,7,Yes
31,Non-Travel,819,Research & Development,24,1,Technical Degree,1,122,4,Male,30,3,4,Laboratory Technician,3,Single,12838,9782,2,Y,No,15,3,1,80,0,4,0,4,4,4,2,4,Yes
56,Travel_Rarely,654,Sales,3,1,Life Sciences,1,123,4,Female,62,2,1,Manufacturing Director,2,Single,5191,7214,2,Y,Yes,14,3,2,80,3,25,3,4,25,15,5,16,No
44,Travel_Rarely,472,Research & Development,14,5,Human Resources,1,124,1,Female,36,1,3,Sales Representative,3,Married,10752,8938,4,Y,Yes,13,3,3,80,0,20,3,4,1,1,1,1,Yes
26,Travel_Rarely,583,Sales,10,1,Medical,1,125,4,Male,81,3,5,Manager,2,Single,17341,4988,9,Y,Yes,20,3,3,80,2,0,6,2,0,0,0,0,Yes
32,Travel_Frequently,1072,Research & Development,22,3,Marketing,1,126,3,Male,40,4,2,Research Director,1,Married,7702,7156,5,Y,No,23,4,3,80,3,0,4,1,0,0,0,0,Yes
32,Travel_Rarely,1351,Research & Development,7,3,Life Sciences,1,127,1,Male,56,2,2,Human Resources,4,Married,7770,7512,2,Y,No,19,3,4,80,3,14,3,3,13,0,7,6,No
43,Travel_Rarely,722,Research & Development,26,3,Other,1,128,1,Male,43,1,3,Manager,2,Married,10503,11788,0,Y,No,24,3,2,80,0,8,4,4,8,3,8,8,Yes
59,Travel_Rarely,406,Research & Development,17,5,Technical Degree,1,129,1,Male,75,2,2,Sales Representative,3,Married,8420,16185,9,Y,No,17,3,2,80,2,22,0,4,22,6,6,12,No
30,Travel_Frequently,556,Research & Development,6,2,Medical,1,130,2,Female,39,2,5,Manufacturing Director,3,Married,16173,20734,7,Y,No,22,3,1,80,3,12,5,1,12,0,2,9,No
49,Travel_Frequently,259,Research & Development,23,4,Life Sciences,1,131,4,Male,53,1,4,Research Scientist,2,Married,14198,11971,0,Y,No,17,3,2,80,2,3,0,2,3,3,0,3,No
56,Travel_Rarely,430,Research & Development,22,1,Marketing,1,132,2,Female,90,3,5,Human Resources,1,Single,16229,22372,1,Y,No,24,3,1,80,1,18,4,3,11,11,5,6,No
49,Travel_Rarely,875,Research & Development,4,4,Technical Degree,1,133,3,Male,47,3,2,Human Resources,1,Married,6816,12640,2,Y,No,23,3,2,80,0,31,5,1,21,7,1,5,No
21,Non-Travel,324,Research & Development,17,2,Technical Degree,1,134,4,Male,38,2,4,Manufacturing Director,4,Single,13809,21254,5,Y,No,18,3,1,80,2,3,6,1,3,3,2,3,No
47,Non-Travel,1082,Sales,27,2,Life Sciences,1,135,2,Female,46,1,5,Laboratory Technician,4,Single,15575,8487,3,Y,No,20,3,4,80,1,27,2,1,27,0,11,2,No
54,Travel_Rarely,828,Sales,9,5,Marketing,1,136,1,Male,87,3,1,Manager,3,Married,4473,21294,3,Y,No,11,3,2,80,1,22,5,1,22,14,13,15,No
40,Non-Travel,1168,Research & Development,4,3,Human Resources,1,137,2,Female,42,2,1,Laboratory Technician,3,Divorced,4498,22997,8,Y,Yes,21,3,3,80,2,22,3,4,12,3,12,8,No
56,Travel_Rarely,1337,Research & Development,7,3,Human Resources,1,138,1,Female,79,4,4,Sales Executive,4,Single,13975,15688,5,Y,No,14,3,1,80,2,22,0,3,0,0,0,0,No
32,Travel_Rarely,1182,Research & Development,23,2,Medical,1,139,2,Male,35,1,4,Manufacturing Director,4,Single,12703,14452,1,Y,Yes,23,3,2,80,0,14,6,4,14,13,13,12,No
46,Travel_Rarely,743,Sales,2,5,Life Sciences,1,140,2,Male,80,4,4,Sales Executive,4,Single,14251,17372,6,Y,Yes,23,3,2,80,0,28,3,1,28,11,10,7,No
